FORMAT SKU Code	Product Name	ITEM	FORMAT	SKU SAP Code	SKU SAP NAME	Category	Sub Category	Case Pack	Per UNIT	Item Head	Brand	UOM	Per UNIT Value	Category Head	IS LITRE	IS LITRE OIL	PACKAGING COST EXC
EDOHYRRPJ3H7NHHN	New_Pomace olive oil 1+1L-Local	JIVO POMACE 1+1L	FLIPKART			OLIVE	JIVO POMACE		1+1 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
EDOGHPHPXJANVVRV	FL-Mustard-5+1L	MUSTARD 5L+1L	FLIPKART			MUSTARD	MUSTARD KACCHI GHANI		5+1 LTR	COMMODITY	JIVO	LTR	6	OIL	Y	Y	80.75
EDOHHXABMQ3JVFSR	Jivo_Canola_Oil_5+1L	CANOLA 5+1L	FLIPKART	SL0000243	CANOLA 5 LTR +1 LTR	CANOLA	CANOLA		5+1 LTR	PREMIUM	JIVO	LTR	6	OIL	Y	Y	80.75
EDOHHX9RDSSJGYGG	Jivo_Canola_Oil_5L	CANOLA 5L	FLIPKART	FG0000118	CANOLA OIL 5 LTR 4 PCS	CANOLA	CANOLA		5 LTR	PREMIUM	JIVO	LTR	5	OIL	Y	Y	73.875
EDOHHXANUW9SHPPJ	Jivo Canola Oil 4+1L	CANOLA 4+1L	FLIPKART			CANOLA	CANOLA		4+1 LTR	PREMIUM	JIVO	LTR	5	OIL	Y	Y	30.25
EDOGNM2PZPHPHYKB	Canola2Ltr-Pomace1ltr	POMACE 1L+CANOLA 1+1L	FLIPKART			CANOLA	CANOLA		1+1+1 LTR	PREMIUM	JIVO	LTR	3	OIL	Y	Y	9.875
EDOHYSH9GAYZHJG6	New_Extra Light 5L-Local	EXTRA LIGHT 5L	FLIPKART			OLIVE	EXTRA LIGHT		5 LTR	PREMIUM	JIVO	LTR	5	OIL	Y	Y	26.875
EDOHAGDYVQWT6GNG	Sano_Classic_5L	SANO_CLASSIC 5L	FLIPKART			OLIVE	CLASSIC		5 LTR	PREMIUM	SANO	LTR	5	OIL	Y	Y	73.875
EDOHDGCREHEZ8KPZ	Jivo_First_Prssed_Sesame_Oil_1L	SESAME OIL 1L	FLIPKART			SESAME OIL	SESAME OIL		1 LTR	PREMIUM	JIVO	LTR	1	OIL	Y	Y	6.875
EDOGDVFWGPRVTTMS	Sunflower Oil 5L	SUNFLOWER OIL 5L	FLIPKART			SUNFLOWER	SUNFLOWER OIL		5 LTR	COMMODITY	JIVO	LTR	5	OIL	Y	Y	73.875
EDOHHZBQB9P4Z6WM	Jivo_Cold_Pressed_Canola_Oil_5+1L	CANOLA 5+1L	FLIPKART			CANOLA	CANOLA		5+1 LTR	PREMIUM	JIVO	LTR	6	OIL	Y	Y	80.75
HNYGQTNABYZXTF6E	Sano_honey_500g	HONEY 500G	FLIPKART			HONEY	HONEY		500 GMS	OTHER	SANO	GMS		OTHER	N	N	0
EDOGHZSEBQYYA6ZW	FL-Sunflower 1+1+1	SUNFLOWER OIL 1L+1L+1L	FLIPKART			SUNFLOWER	SUNFLOWER OIL		1+1+1 LTR	COMMODITY	JIVO	LTR	3	OIL	Y	Y	9.875
GHEHHZBQJBNVZGGQ	Jivo_A2_Ghee_500ml	A2 GHEE 500G	FLIPKART	FG0000082	DESI GHEE A2 500 MLS 16 PCS	GHEE	A2 GHEE		500 MLS	PREMIUM	JIVO	MLS	0.5	OIL	Y	Y	6.875
EDOGJMUGKPPFMTAM	FL-Canola1L+pomace1L	POMACE 1L+CANOLA 1L	FLIPKART			OLIVE	JIVO POMACE		1+1 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
SCMHCKZEKPQWVE5V	Jivo_Clove_100g	CLOVE 100G	FLIPKART			SPICES	JIVO CLOVE		100 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
EDOGHESNHFFUGQB9	FL-Canola1L+Mustard1L	CANOLA 1L+MUSTARD 1L	FLIPKART	SL0000007	CANOLA 1 LTR + MUSTARD 1 LTR	CANOLA	CANOLA		1+1 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
EDSH5BX4UMFR4XYF	Jiv_ Flax_Seeds_800gm	FLAX SEEDS 800 GM	FLIPKART			SEEDS	FLAX SEED		800 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
EDSH66RRE84EYVHC	Jivo Sunflower Seeds 400gm	SUNFLOWER SEEDS 400GM	FLIPKART			SEEDS	SUNFLOWER SEEDS		400 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
EDSH4YGKPTS5TMSD	J_Chia_Seeds_400gm	CHIA SEEDS 400 GM	FLIPKART			SEEDS	CHIA SEED		400 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
